review_text,rating
Terrible quality. Broke in days.,2
Totally worth the money 👌,4
Excellent product! Highly recommended.,5
Loved it! Five stars from me ⭐⭐⭐⭐⭐,4
Totally worth the money 👌,5
Loved it! Five stars from me ⭐⭐⭐⭐⭐,4
Decent for the price.,3
Decent for the price.,3
Excellent product! Highly recommended.,5
Very disappointed. Wouldn’t buy again.,2
Perfect fit and great quality!,4
Worst experience ever!,1
Totally worth the money 👌,4
Waste of money!,2
Perfect fit and great quality!,5
"It’s okay, not great not terrible.",3
Decent for the price.,3
"Poor performance, not recommended.",1
Worst experience ever!,1
Worst experience ever!,1
Waste of money!,1
Perfect fit and great quality!,4
Decent for the price.,3
Waste of money!,2
Very disappointed. Wouldn’t buy again.,2
Loved it! Five stars from me ⭐⭐⭐⭐⭐,5
"Poor performance, not recommended.",2
Amazing. I’ll buy it again.,5
Excellent product! Highly recommended.,4
Waste of money!,1
It works as expected.,3
"Poor performance, not recommended.",2
Amazing. I’ll buy it again.,4
Loved it! Five stars from me ⭐⭐⭐⭐⭐,5
Worst experience ever!,2
Loved it! Five stars from me ⭐⭐⭐⭐⭐,5
Decent for the price.,3
Excellent product! Highly recommended.,4
Perfect fit and great quality!,4
Amazing. I’ll buy it again.,5
Loved it! Five stars from me ⭐⭐⭐⭐⭐,5
"Average quality, meets expectations.",3
Waste of money!,1
Neither good nor bad.,3
"Average quality, meets expectations.",3
Perfect fit and great quality!,4
Perfect fit and great quality!,4
Very disappointed. Wouldn’t buy again.,2
Decent for the price.,3
Worst experience ever!,2
Decent for the price.,3
Loved it! Five stars from me ⭐⭐⭐⭐⭐,4
Decent for the price.,3
"It’s okay, not great not terrible.",3
Perfect fit and great quality!,4
Worst experience ever!,1
Amazing. I’ll buy it again.,5
"It’s okay, not great not terrible.",3
Perfect fit and great quality!,4
Worst experience ever!,1
Worst experience ever!,2
Perfect fit and great quality!,4
Perfect fit and great quality!,5
