review_text,rating,label_fake,sentiment
Average shoes. Does the job but has some flaws. Say road expect toward could.,3,0,negative
"Very good book, but there's room for improvement.",4,0,positive
Flawless book. Works perfectly and looks amazing.,5,0,positive
I absolutely love this smartwatch! It's perfect in every way.,5,0,positive
"Decent headphones, though it has some issues. conference describe identify teacher green general development.",3,0,neutral
This laptop is below average. Wouldn't recommend. Set sure although three.,2,0,positive
This TV is below average. Wouldn't recommend. Leader husband response try.,2,0,negative
Great jacket overall with just minor issues.,4,0,positive
Excellent headphones with just a couple small drawbacks. Available able cell detail and member reach.,4,0,positive
Terrible smartwatch! Complete waste of money.,1,0,negative
Five stars for this amazing smartwatch. Couldn't be happier!,5,0,positive
Terrible headphones! complete waste of money. again it feeling interest system radio.,1,0,negative
I absolutely love this laptop! It's perfect in every way.,5,0,positive
This smartphone is below average. Wouldn't recommend.,2,0,negative
Best smartphone I've ever owned. Highly recommend to everyone.,5,0,positive
Average laptop. Does the job but has some flaws.,3,0,negative
"This smartphone is okay, but nothing special. threat claim its for. involve maintain enter agent present.",3,0,positive
Five stars for this amazing smartwatch. couldn't be happier! expert others performance prove opportunity for behavior.,5,0,positive
Not happy with this smartphone. Has major flaws.,2,0,negative
Really like this smartwatch. Would buy again. Experience his team how some.,4,0,positive
Really like this shoes. Would buy again.,4,0,positive
Not happy with this smartphone. Has major flaws. Consumer step sign administration organization.,2,0,negative
Disappointed with this smartwatch. Many problems.,2,0,negative
Excellent smartphone with just a couple small drawbacks. Professional down despite film.,4,0,positive
I absolutely love this laptop! It's perfect in every way.,5,0,positive
EXCELLENT GADGET VERY NICE LOVE IT! SOUTHERN LATE,5,1,positive
Not happy with this headphones. Has major flaws.,2,0,negative
I'm quite satisfied with this book. Works well.,4,0,positive
"Decent smartwatch, though it has some issues. Business many five choose single beat mind half.",3,0,positive
"This video game is okay, but nothing special.",3,0,positive
"Mediocre blender. not bad, but not great either. base southern party perform win area civil. note view begin agreement follow after state.",3,0,neutral
Five stars for this amazing video game. Couldn't be happier! Carry professor serve life.,5,0,neutral
3 stars gadget fine. discover,2,1,positive
"Mediocre video game. Not bad, but not great either.",3,0,negative
device works good perfect no problems.,5,1,positive
Average headphones. does the job but has some flaws. wear you stay key who fire hard manager. foot turn nation single tell.,3,0,negative
Poor quality jacket. Doesn't work as advertised.,2,0,negative
Terrible blender! Complete waste of money.,1,0,negative
"Mediocre tv. not bad, but not great either. threat rock blood lead attack suddenly purpose.",3,0,negative
"Mediocre TV. Not bad, but not great either.",3,0,negative
Average smartphone. does the job but has some flaws. daughter health region number law report.,3,0,negative
